,Timestamp,LogLevel,Service,Message,RequestID,User,ClientIP,TimeTaken
0,2023-11-20T08:40:50.664842,WARNING,ServiceA,Performance Warnings,6743,User96,192.168.1.102,28ms
60536,2023-11-20T08:55:16.977501,DEBUG,ServiceC,Algorithm Steps,2780,User72,192.168.1.98,73ms
60537,2023-11-20T08:55:16.993695,DEBUG,ServiceB,SQL Queries,5920,User84,192.168.1.28,70ms
60538,2023-11-20T08:55:17.009422,WARNING,ServiceA,Performance Warnings,8033,User82,192.168.1.27,39ms
60539,2023-11-20T08:55:17.025404,INFO,ServiceD,Startup Messages,3008,User9,192.168.1.243,31ms
60540,2023-11-20T08:55:17.035653,INFO,ServiceC,Startup Messages,5859,User44,192.168.1.86,52ms
60541,2023-11-20T08:55:17.045029,FATAL,ServiceC,Crashes,1430,User15,192.168.1.89,52ms
60542,2023-11-20T08:55:17.052782,WARNING,ServiceC,Resource Warnings,1867,User4,192.168.1.67,96ms
60543,2023-11-20T08:55:17.068962,FATAL,ServiceC,Data Corruption,5345,User4,192.168.1.177,89ms
60544,2023-11-20T08:55:17.084737,INFO,ServiceB,Status Updates,8348,User9,192.168.1.68,13ms
60545,2023-11-20T08:55:17.100468,INFO,ServiceC,Status Updates,9731,User48,192.168.1.19,59ms
60546,2023-11-20T08:55:17.116225,DEBUG,ServiceA,Trace Information,8755,User17,192.168.1.150,54ms
60547,2023-11-20T08:55:17.131816,ERROR,ServiceB,Database Errors,7066,User75,192.168.1.246,35ms
60548,2023-11-20T08:55:17.148016,DEBUG,ServiceD,File I/O,2544,User65,192.168.1.248,72ms
60549,2023-11-20T08:55:17.163742,ERROR,ServiceA,Critical Errors,2477,User57,192.168.1.187,63ms
60550,2023-11-20T08:55:17.179364,DEBUG,ServiceC,Trace Information,2411,User55,192.168.1.198,69ms
60551,2023-11-20T08:55:17.195029,INFO,ServiceB,Status Updates,7914,User76,192.168.1.217,12ms
60552,2023-11-20T08:55:17.210652,DEBUG,ServiceB,Trace Information,3456,User25,192.168.1.187,46ms
60553,2023-11-20T08:55:17.226260,WARNING,ServiceB,Performance Warnings,9456,User18,192.168.1.117,24ms
60554,2023-11-20T08:55:17.242002,INFO,ServiceD,Startup Messages,6929,User68,192.168.1.25,98ms
60555,2023-11-20T08:55:17.257765,ERROR,ServiceC,Database Errors,3616,User10,192.168.1.122,12ms
60556,2023-11-20T08:55:17.273353,INFO,ServiceB,Status Updates,5364,User85,192.168.1.228,67ms
60557,2023-11-20T08:55:17.288974,WARNING,ServiceD,Performance Warnings,8692,User61,192.168.1.204,39ms
60558,2023-11-20T08:55:17.304646,DEBUG,ServiceB,Algorithm Steps,7900,User48,192.168.1.79,37ms
60559,2023-11-20T08:55:17.320221,FATAL,ServiceB,Data Corruption,3631,User27,192.168.1.139,32ms
60560,2023-11-20T08:55:17.336434,DEBUG,ServiceC,File I/O,9309,User2,192.168.1.192,47ms
60561,2023-11-20T08:55:17.352302,FATAL,ServiceB,Crashes,2697,User49,192.168.1.78,40ms
60562,2023-11-20T08:55:17.368065,DEBUG,ServiceB,File I/O,5845,User18,192.168.1.177,25ms
60563,2023-11-20T08:55:17.383675,WARNING,ServiceC,Performance Warnings,8993,User78,192.168.1.171,57ms
60564,2023-11-20T08:55:17.399266,WARNING,ServiceC,Input Validation Warnings,5223,User30,192.168.1.189,36ms
60565,2023-11-20T08:55:17.414915,INFO,ServiceC,Startup Messages,1656,User29,192.168.1.225,69ms
60566,2023-11-20T08:55:17.430553,WARNING,ServiceB,Input Validation Warnings,6012,User82,192.168.1.65,46ms
60567,2023-11-20T08:55:17.446465,WARNING,ServiceD,Performance Warnings,8870,User53,192.168.1.23,50ms
60568,2023-11-20T08:55:17.462213,DEBUG,ServiceB,SQL Queries,4756,User23,192.168.1.155,68ms
60569,2023-11-20T08:55:17.477835,DEBUG,ServiceA,SQL Queries,4038,User85,192.168.1.181,48ms
60570,2023-11-20T08:55:17.493751,WARNING,ServiceB,Resource Warnings,2067,User17,192.168.1.31,55ms
60571,2023-11-20T08:55:17.509497,INFO,ServiceA,Status Updates,2692,User31,192.168.1.77,88ms
60572,2023-11-20T08:55:17.525129,INFO,ServiceD,Startup Messages,5750,User86,192.168.1.18,78ms
60573,2023-11-20T08:55:17.540880,DEBUG,ServiceB,SQL Queries,7586,User56,192.168.1.227,11ms
60574,2023-11-20T08:55:17.556639,INFO,ServiceC,Startup Messages,2494,User66,192.168.1.160,98ms
60575,2023-11-20T08:55:17.568455,ERROR,ServiceC,Database Errors,8505,User56,192.168.1.206,38ms
60576,2023-11-20T08:55:17.584857,INFO,ServiceD,Status Updates,4704,User71,192.168.1.197,93ms
60577,2023-11-20T08:55:17.594089,WARNING,ServiceB,Resource Warnings,5793,User78,192.168.1.244,57ms
60578,2023-11-20T08:55:17.610344,FATAL,ServiceD,Crashes,3056,User80,192.168.1.150,24ms
60579,2023-11-20T08:55:17.626062,WARNING,ServiceC,Resource Warnings,9571,User73,192.168.1.207,100ms
60580,2023-11-20T08:55:17.642271,FATAL,ServiceA,Data Corruption,5493,User89,192.168.1.129,99ms
60581,2023-11-20T08:55:17.657998,ERROR,ServiceC,Database Errors,3307,User95,192.168.1.30,47ms
60582,2023-11-20T08:55:17.673627,ERROR,ServiceC,Critical Errors,4551,User38,192.168.1.176,77ms
60583,2023-11-20T08:55:17.689246,INFO,ServiceD,Status Updates,2920,User88,192.168.1.8,33ms
60584,2023-11-20T08:55:17.704900,ERROR,ServiceA,Critical Errors,8101,User49,192.168.1.60,58ms
60585,2023-11-20T08:55:17.720502,DEBUG,ServiceD,Algorithm Steps,7263,User65,192.168.1.222,50ms
60586,2023-11-20T08:55:17.736706,ERROR,ServiceA,Critical Errors,5786,User11,192.168.1.103,27ms
60587,2023-11-20T08:55:17.752431,DEBUG,ServiceD,Trace Information,6938,User4,192.168.1.130,64ms
60588,2023-11-20T08:55:17.768064,DEBUG,ServiceD,SQL Queries,7082,User67,192.168.1.19,45ms
60589,2023-11-20T08:55:17.783705,DEBUG,ServiceC,SQL Queries,6582,User49,192.168.1.191,89ms
60590,2023-11-20T08:55:17.799574,ERROR,ServiceC,Critical Errors,7918,User70,192.168.1.70,28ms
60591,2023-11-20T08:55:17.815774,DEBUG,ServiceB,Trace Information,3121,User21,192.168.1.34,57ms
60592,2023-11-20T08:55:17.831494,WARNING,ServiceD,Input Validation Warnings,6385,User5,192.168.1.16,17ms
83707,2023-11-20T09:00:35.229867,ERROR,ServiceB,Database Errors,7543,User4,192.168.1.44,93ms
83708,2023-11-20T09:00:35.238223,ERROR,ServiceC,Critical Errors,3990,User83,192.168.1.7,47ms
83709,2023-11-20T09:00:35.252977,WARNING,ServiceA,Resource Warnings,1647,User1,192.168.1.110,42ms
83710,2023-11-20T09:00:35.270504,ERROR,ServiceD,Database Errors,3400,User61,192.168.1.102,96ms
83711,2023-11-20T09:00:35.286621,DEBUG,ServiceB,Trace Information,9745,User72,192.168.1.250,96ms
83712,2023-11-20T09:00:35.302362,WARNING,ServiceA,Resource Warnings,2395,User23,192.168.1.161,38ms
83713,2023-11-20T09:00:35.318008,DEBUG,ServiceA,SQL Queries,4443,User44,192.168.1.88,83ms
83714,2023-11-20T09:00:35.333594,FATAL,ServiceB,Crashes,8753,User46,192.168.1.220,16ms
83715,2023-11-20T09:00:35.349272,ERROR,ServiceC,Critical Errors,7981,User47,192.168.1.217,53ms
83716,2023-11-20T09:00:35.365457,INFO,ServiceB,Status Updates,5451,User19,192.168.1.72,48ms
83717,2023-11-20T09:00:35.381183,WARNING,ServiceA,Resource Warnings,8605,User2,192.168.1.32,10ms
83718,2023-11-20T09:00:35.396808,INFO,ServiceA,Startup Messages,7569,User29,192.168.1.120,19ms
83719,2023-11-20T09:00:35.412426,INFO,ServiceC,Status Updates,3361,User91,192.168.1.240,98ms
83720,2023-11-20T09:00:35.428118,DEBUG,ServiceB,Trace Information,4986,User92,192.168.1.7,61ms
83721,2023-11-20T09:00:35.443679,DEBUG,ServiceC,Algorithm Steps,8284,User72,192.168.1.115,20ms
83722,2023-11-20T09:00:35.459438,DEBUG,ServiceB,SQL Queries,2191,User45,192.168.1.189,56ms
83723,2023-11-20T09:00:35.475205,INFO,ServiceC,Status Updates,9375,User3,192.168.1.166,58ms
83724,2023-11-20T09:00:35.490785,ERROR,ServiceC,Database Errors,1254,User2,192.168.1.18,51ms
83725,2023-11-20T09:00:35.506857,FATAL,ServiceD,Data Corruption,5833,User37,192.168.1.52,54ms
83726,2023-11-20T09:00:35.522586,ERROR,ServiceC,Database Errors,7267,User63,192.168.1.64,45ms
83727,2023-11-20T09:00:35.538205,DEBUG,ServiceB,Trace Information,1274,User63,192.168.1.64,93ms
83728,2023-11-20T09:00:35.553802,WARNING,ServiceA,Resource Warnings,4863,User74,192.168.1.161,59ms
83729,2023-11-20T09:00:35.569735,WARNING,ServiceC,Input Validation Warnings,2641,User23,192.168.1.109,33ms
83730,2023-11-20T09:00:35.585459,DEBUG,ServiceD,SQL Queries,9919,User63,192.168.1.142,48ms
83731,2023-11-20T09:00:35.601448,FATAL,ServiceD,Crashes,3057,User11,192.168.1.147,34ms
83732,2023-11-20T09:00:35.617204,ERROR,ServiceA,Database Errors,4356,User82,192.168.1.224,89ms
83733,2023-11-20T09:00:35.632798,WARNING,ServiceB,Performance Warnings,9517,User71,192.168.1.168,52ms
83734,2023-11-20T09:00:35.648961,INFO,ServiceB,Status Updates,4064,User61,192.168.1.34,94ms
83735,2023-11-20T09:00:35.664733,ERROR,ServiceC,Critical Errors,4568,User72,192.168.1.111,35ms
83736,2023-11-20T09:00:35.680459,WARNING,ServiceD,Resource Warnings,3157,User70,192.168.1.9,28ms
83737,2023-11-20T09:00:35.696117,ERROR,ServiceC,Database Errors,8971,User80,192.168.1.250,81ms
83738,2023-11-20T09:00:35.711722,WARNING,ServiceB,Input Validation Warnings,1086,User35,192.168.1.103,76ms
83739,2023-11-20T09:00:35.727360,WARNING,ServiceB,Input Validation Warnings,3748,User19,192.168.1.165,67ms
83740,2023-11-20T09:00:35.743657,ERROR,ServiceC,Database Errors,6801,User90,192.168.1.143,60ms
83741,2023-11-20T09:00:35.753751,ERROR,ServiceA,Critical Errors,1969,User44,192.168.1.107,64ms
83742,2023-11-20T09:00:35.762139,INFO,ServiceC,Startup Messages,3972,User32,192.168.1.163,77ms
83743,2023-11-20T09:00:35.770807,DEBUG,ServiceA,SQL Queries,7276,User85,192.168.1.112,37ms
83744,2023-11-20T09:00:35.779970,WARNING,ServiceB,Resource Warnings,4576,User70,192.168.1.193,76ms
83745,2023-11-20T09:00:35.803846,WARNING,ServiceA,Performance Warnings,4478,User76,192.168.1.219,58ms
83746,2023-11-20T09:00:35.819478,WARNING,ServiceB,Performance Warnings,2183,User36,192.168.1.106,19ms
83747,2023-11-20T09:00:35.835143,ERROR,ServiceA,Database Errors,7939,User49,192.168.1.51,52ms
83748,2023-11-20T09:00:35.850770,ERROR,ServiceA,Critical Errors,8273,User65,192.168.1.58,97ms
83749,2023-11-20T09:00:35.867015,INFO,ServiceC,Startup Messages,9152,User24,192.168.1.141,48ms
83750,2023-11-20T09:00:35.882741,WARNING,ServiceC,Input Validation Warnings,7046,User33,192.168.1.40,72ms
83751,2023-11-20T09:00:35.898402,WARNING,ServiceC,Performance Warnings,7513,User2,192.168.1.128,91ms
83752,2023-11-20T09:00:35.913894,DEBUG,ServiceC,File I/O,2029,User53,192.168.1.51,72ms
83753,2023-11-20T09:00:35.929786,INFO,ServiceD,Startup Messages,4628,User61,192.168.1.168,75ms
83754,2023-11-20T09:00:35.945518,INFO,ServiceD,Status Updates,5276,User73,192.168.1.155,79ms
83755,2023-11-20T09:00:35.961753,INFO,ServiceC,Status Updates,2879,User32,192.168.1.67,84ms
83756,2023-11-20T09:00:35.977490,FATAL,ServiceD,Crashes,3871,User38,192.168.1.198,73ms
83757,2023-11-20T09:00:35.993138,DEBUG,ServiceB,Trace Information,1187,User53,192.168.1.194,100ms
83758,2023-11-20T09:00:36.008719,WARNING,ServiceB,Input Validation Warnings,8424,User53,192.168.1.166,50ms
83759,2023-11-20T09:00:36.024350,ERROR,ServiceC,Database Errors,1851,User48,192.168.1.79,25ms
83760,2023-11-20T09:00:36.040001,INFO,ServiceB,Startup Messages,3210,User73,192.168.1.65,84ms
83761,2023-11-20T09:00:36.055737,DEBUG,ServiceA,Trace Information,8117,User72,192.168.1.198,60ms
83762,2023-11-20T09:00:36.071460,ERROR,ServiceB,Database Errors,9777,User92,192.168.1.40,77ms
83763,2023-11-20T09:00:36.087150,WARNING,ServiceA,Performance Warnings,1883,User77,192.168.1.8,54ms
83764,2023-11-20T09:00:36.102708,INFO,ServiceA,Startup Messages,3663,User70,192.168.1.160,10ms
83765,2023-11-20T09:00:36.118339,INFO,ServiceC,Status Updates,3201,User80,192.168.1.155,10ms
83766,2023-11-20T09:00:36.133987,FATAL,ServiceC,Crashes,2669,User79,192.168.1.35,32ms
83767,2023-11-20T09:00:36.149581,DEBUG,ServiceC,Algorithm Steps,2303,User30,192.168.1.150,21ms
83768,2023-11-20T09:00:36.165804,INFO,ServiceB,Status Updates,3725,User43,192.168.1.156,92ms
83769,2023-11-20T09:00:36.181572,ERROR,ServiceA,Database Errors,3160,User41,192.168.1.206,70ms